Loading pytorch/1.13.1-gpu
  Loading requirement: nvidia/cudnn/8.6.0-cuda-11.6 nvidia/tensorrt/8.4.3.1-u2
    gcc/8.2.0 nvidia/nvhpc-nompi/22.2 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    libsndfile/1.0.28
Using device: cpu

MLP(
  (layers): Sequential(
    (0): Linear(in_features=7, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=27, bias=True)
  )
)
episode: 194/200, episode end value: 39141.54, duration: 0:00:00.748263
episode: 195/200, episode end value: 44799.52, duration: 0:00:00.729648
episode: 196/200, episode end value: 45398.37, duration: 0:00:00.727187
episode: 197/200, episode end value: 41910.48, duration: 0:00:00.727031
episode: 198/200, episode end value: 37385.09, duration: 0:00:00.728947
episode: 199/200, episode end value: 35981.81, duration: 0:00:00.724840
episode: 200/200, episode end value: 41953.00, duration: 0:00:00.732235
Using device: cpu

MLP(
  (layers): Sequential(
    (0): Linear(in_features=7, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=27, bias=True)
  )
)
episode: 1/200, episode end value: 18954.12, duration: 0:00:00.129412
episode: 2/200, episode end value: 19251.57, duration: 0:00:00.114310
episode: 3/200, episode end value: 18356.78, duration: 0:00:00.111537
episode: 4/200, episode end value: 19216.05, duration: 0:00:00.111741
episode: 5/200, episode end value: 18483.79, duration: 0:00:00.112065
episode: 6/200, episode end value: 18630.96, duration: 0:00:00.112533
episode: 7/200, episode end value: 20004.75, duration: 0:00:00.113294
episode: 8/200, episode end value: 22758.38, duration: 0:00:00.111123
episode: 9/200, episode end value: 22647.44, duration: 0:00:00.112472
episode: 10/200, episode end value: 18493.14, duration: 0:00:00.112108
episode: 11/200, episode end value: 19104.58, duration: 0:00:00.111779
episode: 12/200, episode end value: 18356.78, duration: 0:00:00.114733
episode: 13/200, episode end value: 19757.93, duration: 0:00:00.114943
episode: 14/200, episode end value: 18062.27, duration: 0:00:00.112464
episode: 15/200, episode end value: 18188.20, duration: 0:00:00.111317
episode: 16/200, episode end value: 22072.23, duration: 0:00:00.111825
episode: 17/200, episode end value: 19489.98, duration: 0:00:00.111678
episode: 18/200, episode end value: 18180.37, duration: 0:00:00.112672
episode: 19/200, episode end value: 17539.16, duration: 0:00:00.112253
episode: 20/200, episode end value: 19649.79, duration: 0:00:00.112076
episode: 21/200, episode end value: 18396.89, duration: 0:00:00.111406
episode: 22/200, episode end value: 18356.78, duration: 0:00:00.110832
episode: 23/200, episode end value: 22275.69, duration: 0:00:00.112109
episode: 24/200, episode end value: 19826.99, duration: 0:00:00.113519
episode: 25/200, episode end value: 19231.68, duration: 0:00:00.111392
episode: 26/200, episode end value: 18379.32, duration: 0:00:00.110966
episode: 27/200, episode end value: 18057.29, duration: 0:00:00.112480
episode: 28/200, episode end value: 17590.70, duration: 0:00:00.111897
episode: 29/200, episode end value: 18356.78, duration: 0:00:00.111051
episode: 30/200, episode end value: 21569.00, duration: 0:00:00.111672
episode: 31/200, episode end value: 18342.25, duration: 0:00:00.111450
episode: 32/200, episode end value: 18125.53, duration: 0:00:00.111798
episode: 33/200, episode end value: 18356.78, duration: 0:00:00.110911
episode: 34/200, episode end value: 18072.57, duration: 0:00:00.111229
episode: 35/200, episode end value: 18654.30, duration: 0:00:00.111965
episode: 36/200, episode end value: 18504.07, duration: 0:00:00.111901
episode: 37/200, episode end value: 18102.02, duration: 0:00:00.111815
episode: 38/200, episode end value: 18053.64, duration: 0:00:00.110798
episode: 39/200, episode end value: 18207.19, duration: 0:00:00.111768
episode: 40/200, episode end value: 18255.13, duration: 0:00:00.111444
episode: 41/200, episode end value: 18969.76, duration: 0:00:00.111672
episode: 42/200, episode end value: 18688.81, duration: 0:00:00.111342
episode: 43/200, episode end value: 23156.19, duration: 0:00:00.112415
episode: 44/200, episode end value: 21570.38, duration: 0:00:00.112123
episode: 45/200, episode end value: 18190.64, duration: 0:00:00.111441
episode: 46/200, episode end value: 18356.78, duration: 0:00:00.110989
episode: 47/200, episode end value: 18244.27, duration: 0:00:00.111141
episode: 48/200, episode end value: 18062.55, duration: 0:00:00.111487
episode: 49/200, episode end value: 19221.02, duration: 0:00:00.111392
episode: 50/200, episode end value: 17454.97, duration: 0:00:00.111377
episode: 51/200, episode end value: 18070.85, duration: 0:00:00.112361
episode: 52/200, episode end value: 18273.30, duration: 0:00:00.111355
episode: 53/200, episode end value: 18511.97, duration: 0:00:00.111812
episode: 54/200, episode end value: 18484.90, duration: 0:00:00.110916
episode: 55/200, episode end value: 19064.94, duration: 0:00:00.111291
episode: 56/200, episode end value: 17884.36, duration: 0:00:00.111377
episode: 57/200, episode end value: 19524.25, duration: 0:00:00.112204
episode: 58/200, episode end value: 18490.80, duration: 0:00:00.111157
episode: 59/200, episode end value: 18345.61, duration: 0:00:00.111580
episode: 60/200, episode end value: 17802.17, duration: 0:00:00.111654
episode: 61/200, episode end value: 17945.12, duration: 0:00:00.111814
episode: 62/200, episode end value: 19486.96, duration: 0:00:00.112059
episode: 63/200, episode end value: 19700.40, duration: 0:00:00.113811
episode: 64/200, episode end value: 19401.12, duration: 0:00:00.113221
episode: 65/200, episode end value: 18392.80, duration: 0:00:00.112624
episode: 66/200, episode end value: 19144.45, duration: 0:00:00.112362
episode: 67/200, episode end value: 18995.38, duration: 0:00:00.112869
episode: 68/200, episode end value: 23073.05, duration: 0:00:00.112539
episode: 69/200, episode end value: 18356.78, duration: 0:00:00.110893
episode: 70/200, episode end value: 18356.78, duration: 0:00:00.111024
episode: 71/200, episode end value: 18215.42, duration: 0:00:00.111276
episode: 72/200, episode end value: 21308.96, duration: 0:00:00.111466
episode: 73/200, episode end value: 21174.70, duration: 0:00:00.111735
episode: 74/200, episode end value: 18512.60, duration: 0:00:00.111549
episode: 75/200, episode end value: 18567.89, duration: 0:00:00.111445
episode: 76/200, episode end value: 18804.15, duration: 0:00:00.111633
episode: 77/200, episode end value: 18356.78, duration: 0:00:00.110827
episode: 78/200, episode end value: 18256.38, duration: 0:00:00.112133
episode: 79/200, episode end value: 18362.56, duration: 0:00:00.112177
episode: 80/200, episode end value: 17624.10, duration: 0:00:00.111312
episode: 81/200, episode end value: 21782.05, duration: 0:00:00.111527
episode: 82/200, episode end value: 20066.67, duration: 0:00:00.112849
episode: 83/200, episode end value: 19496.88, duration: 0:00:00.112608
episode: 84/200, episode end value: 18735.29, duration: 0:00:00.111307
episode: 85/200, episode end value: 18356.78, duration: 0:00:00.110738
episode: 86/200, episode end value: 18356.78, duration: 0:00:00.110928
episode: 87/200, episode end value: 20772.89, duration: 0:00:00.112744
episode: 88/200, episode end value: 18356.78, duration: 0:00:00.111282
episode: 89/200, episode end value: 23945.54, duration: 0:00:00.111115
episode: 90/200, episode end value: 17460.66, duration: 0:00:00.110989
episode: 91/200, episode end value: 24045.54, duration: 0:00:00.110955
episode: 92/200, episode end value: 19409.89, duration: 0:00:00.120465
episode: 93/200, episode end value: 18220.86, duration: 0:00:00.122559
episode: 94/200, episode end value: 18244.77, duration: 0:00:00.118856
episode: 95/200, episode end value: 19068.40, duration: 0:00:00.112187
episode: 96/200, episode end value: 18356.78, duration: 0:00:00.110691
episode: 97/200, episode end value: 24480.92, duration: 0:00:00.110791
episode: 98/200, episode end value: 17670.47, duration: 0:00:00.111365
episode: 99/200, episode end value: 18306.29, duration: 0:00:00.110918
episode: 100/200, episode end value: 18414.57, duration: 0:00:00.111210
episode: 101/200, episode end value: 18371.18, duration: 0:00:00.111217
episode: 102/200, episode end value: 22423.58, duration: 0:00:00.112021
episode: 103/200, episode end value: 18576.70, duration: 0:00:00.117224
episode: 104/200, episode end value: 17318.99, duration: 0:00:00.111609
episode: 105/200, episode end value: 18598.06, duration: 0:00:00.111425
episode: 106/200, episode end value: 17538.36, duration: 0:00:00.111813
episode: 107/200, episode end value: 17950.10, duration: 0:00:00.111393
episode: 108/200, episode end value: 18246.47, duration: 0:00:00.111231
episode: 109/200, episode end value: 18638.44, duration: 0:00:00.110808
episode: 110/200, episode end value: 18528.48, duration: 0:00:00.111148
episode: 111/200, episode end value: 25079.71, duration: 0:00:00.111357
episode: 112/200, episode end value: 18814.22, duration: 0:00:00.111774
episode: 113/200, episode end value: 19848.01, duration: 0:00:00.117649
episode: 114/200, episode end value: 21408.76, duration: 0:00:00.111806
episode: 115/200, episode end value: 18257.87, duration: 0:00:00.111351
episode: 116/200, episode end value: 18363.52, duration: 0:00:00.111133
episode: 117/200, episode end value: 18739.21, duration: 0:00:00.111622
episode: 118/200, episode end value: 22198.91, duration: 0:00:00.111383
episode: 119/200, episode end value: 18686.24, duration: 0:00:00.111418
episode: 120/200, episode end value: 19721.83, duration: 0:00:00.112799
episode: 121/200, episode end value: 17410.10, duration: 0:00:00.111467
episode: 122/200, episode end value: 19550.28, duration: 0:00:00.111052
episode: 123/200, episode end value: 19216.87, duration: 0:00:00.114627
episode: 124/200, episode end value: 17515.12, duration: 0:00:00.111859
episode: 125/200, episode end value: 18356.78, duration: 0:00:00.111099
episode: 126/200, episode end value: 18719.36, duration: 0:00:00.110999
episode: 127/200, episode end value: 18356.78, duration: 0:00:00.110881
episode: 128/200, episode end value: 23609.23, duration: 0:00:00.111754
episode: 129/200, episode end value: 18356.78, duration: 0:00:00.110720
episode: 130/200, episode end value: 18187.64, duration: 0:00:00.111253
episode: 131/200, episode end value: 17541.42, duration: 0:00:00.111574
episode: 132/200, episode end value: 24248.36, duration: 0:00:00.111448
episode: 133/200, episode end value: 18452.95, duration: 0:00:00.111137
episode: 134/200, episode end value: 22310.84, duration: 0:00:00.111356
episode: 135/200, episode end value: 18170.41, duration: 0:00:00.111179
episode: 136/200, episode end value: 26188.89, duration: 0:00:00.113197
episode: 137/200, episode end value: 18290.69, duration: 0:00:00.110980
episode: 138/200, episode end value: 18616.07, duration: 0:00:00.111194
episode: 139/200, episode end value: 25363.80, duration: 0:00:00.111769
episode: 140/200, episode end value: 21214.21, duration: 0:00:00.112455
episode: 141/200, episode end value: 21366.22, duration: 0:00:00.111769
episode: 142/200, episode end value: 18066.09, duration: 0:00:00.117117
episode: 143/200, episode end value: 18356.78, duration: 0:00:00.110857
episode: 144/200, episode end value: 17732.18, duration: 0:00:00.111548
episode: 145/200, episode end value: 18413.57, duration: 0:00:00.111782
episode: 146/200, episode end value: 22537.67, duration: 0:00:00.112309
episode: 147/200, episode end value: 20645.31, duration: 0:00:00.111132
episode: 148/200, episode end value: 26411.74, duration: 0:00:00.112204
episode: 149/200, episode end value: 24676.23, duration: 0:00:00.112761
episode: 150/200, episode end value: 25075.30, duration: 0:00:00.112101
episode: 151/200, episode end value: 22103.47, duration: 0:00:00.112475
episode: 152/200, episode end value: 18354.25, duration: 0:00:00.111360
episode: 153/200, episode end value: 17925.10, duration: 0:00:00.111332
episode: 154/200, episode end value: 18754.00, duration: 0:00:00.112682
episode: 155/200, episode end value: 18478.38, duration: 0:00:00.111435
episode: 156/200, episode end value: 20937.23, duration: 0:00:00.111395
episode: 157/200, episode end value: 17097.32, duration: 0:00:00.111405
episode: 158/200, episode end value: 19969.60, duration: 0:00:00.111654
episode: 159/200, episode end value: 21086.68, duration: 0:00:00.111126
episode: 160/200, episode end value: 18165.48, duration: 0:00:00.111346
episode: 161/200, episode end value: 17325.70, duration: 0:00:00.111995
episode: 162/200, episode end value: 18768.83, duration: 0:00:00.111185
episode: 163/200, episode end value: 17262.69, duration: 0:00:00.112094
