Loading pytorch/1.13.1-gpu
  Loading requirement: gcc/8.2.0 nvidia/nvhpc-nompi/22.2
    nvidia/cudnn/8.6.0-cuda-11.6 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    nvidia/tensorrt/8.4.3.1-u2
episode: 150/2000, episode end value: 39828.02, duration: 0:00:00.767337
episode: 151/2000, episode end value: 40972.27, duration: 0:00:00.761380
episode: 152/2000, episode end value: 39247.59, duration: 0:00:00.760971
episode: 153/2000, episode end value: 41203.74, duration: 0:00:00.763892
episode: 154/2000, episode end value: 40281.08, duration: 0:00:00.772580
episode: 155/2000, episode end value: 44760.28, duration: 0:00:00.760374
episode: 156/2000, episode end value: 40181.37, duration: 0:00:00.759533
episode: 157/2000, episode end value: 42048.27, duration: 0:00:00.774903
episode: 158/2000, episode end value: 40155.34, duration: 0:00:00.809935
episode: 159/2000, episode end value: 40529.46, duration: 0:00:00.785704
episode: 160/2000, episode end value: 41159.71, duration: 0:00:00.773101
episode: 161/2000, episode end value: 38267.12, duration: 0:00:00.763855
episode: 162/2000, episode end value: 40190.04, duration: 0:00:00.762698
episode: 163/2000, episode end value: 36839.98, duration: 0:00:00.789077
episode: 164/2000, episode end value: 40501.59, duration: 0:00:00.769027
episode: 165/2000, episode end value: 37985.20, duration: 0:00:00.762719
episode: 166/2000, episode end value: 41787.77, duration: 0:00:00.756733
episode: 167/2000, episode end value: 29979.68, duration: 0:00:00.763316
episode: 168/2000, episode end value: 40702.96, duration: 0:00:00.760361
episode: 169/2000, episode end value: 38854.16, duration: 0:00:00.766895
episode: 170/2000, episode end value: 45808.54, duration: 0:00:00.774803
episode: 171/2000, episode end value: 45058.88, duration: 0:00:00.781954
episode: 172/2000, episode end value: 40230.99, duration: 0:00:00.776956
episode: 173/2000, episode end value: 39149.42, duration: 0:00:00.776682
episode: 174/2000, episode end value: 38698.01, duration: 0:00:00.779196
episode: 175/2000, episode end value: 42515.09, duration: 0:00:00.773275
episode: 176/2000, episode end value: 39013.48, duration: 0:00:00.777316
episode: 177/2000, episode end value: 49816.29, duration: 0:00:00.773281
episode: 178/2000, episode end value: 39418.26, duration: 0:00:00.779772
episode: 179/2000, episode end value: 33121.70, duration: 0:00:00.761323
episode: 180/2000, episode end value: 42341.05, duration: 0:00:00.764257
episode: 181/2000, episode end value: 48511.06, duration: 0:00:00.773550
episode: 182/2000, episode end value: 38180.40, duration: 0:00:00.781750
episode: 183/2000, episode end value: 41429.94, duration: 0:00:00.774471
episode: 184/2000, episode end value: 39878.91, duration: 0:00:00.763780
episode: 185/2000, episode end value: 47533.44, duration: 0:00:00.778837
episode: 186/2000, episode end value: 39606.98, duration: 0:00:00.758891
episode: 187/2000, episode end value: 46722.12, duration: 0:00:00.766532
episode: 188/2000, episode end value: 45447.14, duration: 0:00:00.776688
episode: 189/2000, episode end value: 46245.85, duration: 0:00:00.778118
episode: 190/2000, episode end value: 47265.48, duration: 0:00:00.774322
episode: 191/2000, episode end value: 39478.80, duration: 0:00:00.780500
episode: 192/2000, episode end value: 41589.14, duration: 0:00:00.762282
episode: 193/2000, episode end value: 46245.64, duration: 0:00:00.772687
episode: 194/2000, episode end value: 45747.84, duration: 0:00:00.782843
episode: 195/2000, episode end value: 43332.98, duration: 0:00:00.799273
episode: 196/2000, episode end value: 39380.26, duration: 0:00:00.780984
episode: 197/2000, episode end value: 47201.71, duration: 0:00:00.791536
episode: 198/2000, episode end value: 38534.63, duration: 0:00:00.800332
episode: 199/2000, episode end value: 48965.82, duration: 0:00:00.795170
episode: 200/2000, episode end value: 47505.25, duration: 0:00:00.769010
