BA,CAT,CVX,DIS,GE
352.75,151.1199951171875,113.1500015258789,103.41000366210938,69.10694885253906
348.9200134277344,153.75,113.6500015258789,104.94000244140625,70.16128540039062
347.0400085449219,151.50999450683594,113.83999633789062,103.58999633789062,69.53826904296875
348.7300109863281,153.58999633789062,113.3499984741211,104.02999877929688,69.58618927001953
354.5199890136719,158.25,117.22000122070312,104.7300033569336,71.59901428222656
344.19000244140625,154.5,116.79000091552734,105.16999816894531,72.36580657958984
338.6700134277344,153.69000244140625,116.45999908447266,103.7300033569336,69.15486907958984
330.2600098,152.5399932861328,115.12999725341797,103.9000015258789,68.38808441
329.9800109863281,154.57000732421875,115.58000183105469,103.23999786376953,68.81940460205078
330.4700012207031,156.4600067138672,115.4000015258789,102.87000274658203,68.57978057861328
331.7600098,152.14999389648438,113.88999938964844,101.4800033569336,67.42959594726562
337.6300048828125,154.05999755859375,114.5,101.3499984741211,65.36884307861328
337.1000061035156,155.8000030517578,117.04000091552734,101.81999969482422,66.51902770996094
319.6099853515625,146.89999389648438,113.69999694824219,100.5999984741211,63.97903823852539
321,144.2899932861328,112.9800033569336,98.54000091552734,62.63715744018555
328.9700012207031,149.19000244140625,115.3499984741211,100.6500015258789,61.77451705932617
321.1199951171875,146.99000549316406,114.66000366210938,99.36000061035156,64.41035461425781
320.0199890136719,145.16000366210938,112.0999984741211,98.54000091552734,65.56053924560547
327.8800048828125,147.3800048828125,114.04000091552734,100.44000244140625,64.60205841064453
322.44000244140625,143.88999938964844,112.23999786376953,98.66000366210938,62.87677764892578
330.82000732421875,145.05999755859375,114.83000183105469,99.41999816894531,62.92470169067383
327.44000244140625,145.17999267578125,114.4800033569336,100.94999694824219,63.64356613
336.3999938964844,148.1300048828125,117.29000091552734,102.11000061035156,64.36243438720703
326.1199951171875,142.99000549316406,114.76000213623047,100.3499984741211,62.5892334
322.4800109863281,143.0800018310547,115.9800033569336,99.69999694824219,61.48697280883789
334.8299865722656,148.08999633789062,118.8499984741211,101.37000274658203,62.54130935668945
327.3599853515625,146.7899932861328,119.25,100.80000305175781,62.15791320800781
337.4800109863281,150.13999938964844,119.2300033569336,100.38999938964844,63.16432571411133
329.2799987792969,150.22999572753906,119.91999816894531,100.3499984741211,64.64997863769531
331.7699890136719,152.13999938964844,120.69999694824219,100.23999786376953,63.88319016
336.7200012207031,153.30999755859375,121.45999908447266,102.16999816894531,66.08770751953125
341,155.9499969482422,123.81999969482422,101.20999908447266,65.46469879
